year,team,team_id,conf,quad_id,seed,round,kadj_o,kadj_o_rank,kadj_d,kadj_d_rank,kadj_t,kadj_t_rank,badj_o,badj_o_rank,badj_d,badj_d_rank,barthag,barthag_rank,efg%,efg%_rank,efg%d,efgd%_rank,tov%,tov%_rank,tov%d,tov%d_rank,oreb%,oreb%_rank,dreb%,dreb%_rank,ftr,ftr_rank,ftrd,ftrd_rank,2pt%,2pt%_rank,2pt%d,2pt%d_rank,3pt%,3pt%_rank,3pt%d,3pt%d_rank,3ptr,3ptr_rank,3ptrd,3ptrd_rank
2025,VCU,226,A10,2,11,64,116.251,45,95.5473,22,66.1584,241,116.23,42,96.001,25,0.9,30,52.4,102,44.4,2,16.8,158,20.6,32,36.7,12,70.0,201,32.2,200,36.1,263,54.2,65,43.6,4,33.5,193,30.6,24,47.4,27,35.3,68
2025,Wisconsin,240,B10,2,3,32,123.276,10,96.8339,33,67.7504,148,122.43,14,96.113,26,0.942,12,53.6,67,47.9,52,14.1,17,14.5,331,28.0,239,73.4,43,33.8,158,28.1,57,54.7,51,46.8,34,34.9,122,33.0,126,48.1,19,39.1,195
2025,Wofford,241,SC,1,15,64,113.682,67,109.523,231,64.1094,333,111.468,91,109.672,248,0.547,145,53.3,75,51.8,235,16.9,167,14.9,322,35.5,27,73.8,32,31.1,239,36.2,268,54.6,56,51.8,223,34.5,144,34.5,230,47.7,23,45.8,346
2025,Xavier,244,BE,1,11,64,115.459,53,98.2866,44,69.1435,74,116.256,41,97.789,38,0.88,37,53.9,56,50.6,169,16.0,102,17.6,151,25.2,319,74.8,15,37.2,61,28.1,57,51.3,167,50.5,162,38.8,6,33.9,190,37.4,215,37.2,119
2025,Yale,245,Ivy,4,13,64,114.444,61,103.508,105,67.4019,174,113.907,61,103.716,118,0.746,79,54.8,41,48.8,88,14.4,22,16.1,258,33.2,82,74.2,24,32.0,205,28.7,71,53.4,90,47.3,46,38.5,10,33.7,177,32.0,336,48.0,359
2024,Akron,2,MAC,1,14,64,107.009,162,102.072,97,65.8933,268,105.033,176,101.548,103,0.596,131,52.0,106,48.6,78,17.2,195,16.6,206,29.5,151,74.4,53,33.6,155,29.0,88,54.8,31,50.7,197,32.0,276,30.0,14,41.5,71,36.8,170
2024,Alabama,3,SEC,3,4,4,125.601,2,103.118,112,72.6461,9,125.159,4,102.045,119,0.913,15,56.3,11,49.9,149,16.0,107,15.6,279,34.9,27,70.1,220,35.2,115,39.6,319,57.6,10,51.1,217,36.5,41,31.9,67,46.8,19,36.7,164
2024,Arizona,8,P12,3,2,16,121.125,8,94.5013,12,71.8379,16,121.52,7,93.619,12,0.953,6,55.0,26,48.7,81,16.1,112,18.1,110,36.3,16,76.9,7,36.7,83,25.7,22,54.6,35,47.8,68,37.1,23,33.4,149,32.6,294,38.2,219
2024,Auburn,12,SEC,4,4,64,120.579,10,91.6765,4,69.7887,58,120.655,10,92.05,6,0.957,5,54.1,43,43.4,1,14.9,53,18.2,103,32.9,63,69.7,238,38.2,51,41.0,332,54.9,29,42.8,1,35.2,113,29.8,9,37.5,180,33.3,52
2024,Baylor,14,B12,3,3,32,122.49,6,100.185,64,65.6032,281,122.209,6,99.9,78,0.91,17,55.6,16,51.3,233,17.7,223,17.1,165,35.1,25,72.9,98,40.5,21,30.9,132,53.4,64,51.9,249,39.4,7,33.5,154,38.3,153,35.5,112
2024,Boise St.,17,MWC,2,10,68,113.974,52,97.5892,29,66.807,221,114.026,46,97.802,36,0.854,41,51.6,129,49.8,142,16.5,152,16.8,190,32.5,73,76.9,7,36.1,93,33.1,197,51.2,148,52.1,259,34.8,137,30.6,24,39.8,114,36.9,176
2024,BYU,25,B12,4,6,64,120.486,11,99.4765,48,69.0581,85,120.635,11,98.979,59,0.907,18,55.1,23,48.0,61,15.2,65,16.0,255,32.8,67,75.3,26,25.3,348,32.1,165,58.0,8,48.2,83,34.8,137,31.8,60,50.7,2,34.1,72
2024,Clemson,33,ACC,3,6,8,117.426,27,100.489,67,66.1056,260,116.717,27,99.338,69,0.865,35,53.9,45,48.7,81,14.9,53,13.6,343,27.7,220,74.8,33,30.6,245,31.2,139,54.4,39,47.1,50,35.4,101,34.0,198,40.2,104,40.6,287
2024,Colgate,36,Pat,3,14,64,104.65,211,102.5,104,66.2225,253,102.289,226,101.844,111,0.513,159,53.4,55,47.2,33,16.3,133,16.1,248,25.0,298,75.5,21,27.6,318,24.5,13,53.3,68,48.7,102,35.7,83,29.9,12,38.3,153,39.6,266
2024,College of Charleston,37,CAA,3,13,64,113.736,58,106.128,176,69.7757,59,113.335,53,105.219,178,0.702,100,52.4,84,50.6,192,14.3,31,16.4,224,33.5,45,73.4,77,26.9,333,28.3,74,52.6,93,50.5,183,34.8,137,33.8,171,47.1,16,36.9,176
2024,Colorado,38,P12,2,10,32,117.579,25,99.1127,42,67.5085,165,117.194,25,98.019,38,0.886,27,55.3,19,49.3,113,18.1,262,15.2,298,32.4,75,76.0,14,35.3,110,28.1,67,53.6,55,50.1,169,39.4,7,31.9,67,30.4,324,35.3,105
2024,Colorado St.,39,MWC,1,10,64,115.382,42,98.779,38,65.8043,270,113.795,49,98.131,40,0.846,45,54.6,33,49.3,113,14.8,49,16.9,185,24.3,311,72.5,110,32.6,187,31.8,154,57.6,10,48.5,98,33.2,219,34.0,198,38.3,153,34.0,68
2024,Connecticut,40,BE,4,1,1,126.608,1,94.3949,11,64.4543,329,127.046,1,93.553,11,0.971,2,57.1,6,45.1,5,14.9,53,16.2,240,36.5,15,73.2,88,33.3,161,32.5,175,58.5,6,43.7,7,36.7,30,31.9,67,40.9,89,33.2,50
2024,Creighton,43,BE,1,3,16,120.091,12,96.6912,24,67.0297,207,120.6,12,96.455,27,0.929,10,57.5,3,46.4,18,15.3,69,11.2,362,25.9,284,75.4,22,24.5,353,16.2,1,60.6,3,45.7,21,36.1,60,32.2,82,48.9,7,27.2,5
2024,Dayton,45,A10,3,7,32,118.601,18,101.304,87,64.1776,337,117.426,22,100.644,92,0.855,40,56.6,9,47.9,51,15.8,95,15.7,276,26.9,257,71.0,181,37.2,72,21.8,3,53.7,51,48.2,83,40.2,3,31.7,56,44.5,32,40.4,284
2024,Drake,48,MVC,4,10,64,115.619,38,100.904,75,67.8384,150,114.841,38,100.148,81,0.828,50,54.9,28,51.0,209,13.9,15,17.4,144,24.2,314,77.9,1,32.6,187,31.0,134,55.1,25,51.9,249,36.5,41,33.0,127,39.6,119,39.3,253
2024,Duke,50,ACC,2,4,8,121.827,7,96.9502,26,66.6784,231,120.797,9,96.829,30,0.927,11,55.2,21,49.0,96,14.3,31,16.9,185,31.8,89,74.1,57,33.8,148,27.6,56,54.4,39,49.1,121,37.7,17,32.6,104,37.4,183,35.5,112
2024,Duquesne,246,A10,4,11,32,106.921,166,97.5497,28,66.3236,251,106.316,155,96.137,26,0.761,75,50.1,211,48.0,61,17.5,213,19.5,49,29.9,140,70.0,226,33.1,167,35.3,252,49.6,214,48.4,94,33.9,181,31.7,56,39.7,118,37.3,191
2024,Florida,55,SEC,2,7,64,119.317,14,101.129,83,71.6913,18,119.659,14,99.304,68,0.895,24,51.5,140,48.8,84,15.8,95,14.5,321,37.5,7,71.1,174,38.6,44,34.2,223,51.7,123,49.0,116,34.2,164,32.2,82,34.5,259,32.7,41
2024,Florida Atlantic,56,Amer,4,8,64,118.961,16,102.725,109,68.0531,138,117.264,23,102.99,134,0.816,54,55.0,26,49.7,134,15.8,95,16.5,213,33.8,40,70.8,191,34.8,126,27.5,53,56.0,17,49.3,132,35.6,89,33.6,159,38.8,136,36.3,137
2024,Gonzaga,68,WCC,1,5,16,120.997,9,99.4329,46,69.0926,83,121.233,8,98.61,50,0.915,14,56.7,8,47.3,37,14.0,17,16.5,213,33.3,53,72.8,102,31.5,225,25.8,24,58.3,7,45.1,13,35.5,95,34.0,198,31.4,309,36.9,176
2024,Grambling St.,247,SWAC,1,16,64,99.2736,297,107.084,197,64.8232,314,97.672,306,106.009,191,0.281,272,48.2,275,49.1,101,20.5,340,19.0,61,28.1,209,67.3,327,39.6,31,33.9,221,47.0,305,48.4,94,34.1,173,33.7,164,29.8,333,33.4,55
